PathwayID,PathwayName,Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,URL,Genes
hsa04010,MAPK signaling pathway,1.48E-55,150,294,3.992469081,http://www.genome.jp/kegg-bin/show_pathway?hsa04010 , GADD45G  CHUK  MAP3K8  ATF2  CRK  CRKL  MAPK14  CSF1  CSF1R  GADD45A  DUSP1  DUSP2  DUSP5  DUSP6  EFNA2  EGF  EGFR  EPHA2  ELK1  ERBB2  ERBB3  ERBB4  EREG  AKT1  AKT2  FGF1  FGF2  FGF4  FGF7  FGF9  FGF10  FGFR1  FGFR3  FGFR2  FGFR4  FLNA  FLNB  FLNC  FLT1  FLT3  FLT4  FOS  FGF21  ANGPT1  ANGPT2  GRB2  HGF  NR4A1  HSPA8  HSPB1  IGF1  IGF1R  IGF2  FAS  IKBKB  IL1A  IL1B  IL1R1  IL1RAP  FASLG  INS  INSR  IRAK1  ARAF  JUN  JUND  AREG  KDR  KIT  KRAS  MAP3K5  MET  KITLG  MAP3K11  MYC  MYD88  GADD45B  ATF4  NF1  NFATC1  NFKB1  NFKB2  NGF  NGFR  NRAS  NTF3  NTF4  NTRK1  NTRK2  PAK1  IRAK4  PDGFA  PDGFB  PDGFRA  PDGFRB  PGF  PLA2G4A  PPM1B  PPP3CA  PPP5C  PRKCA  PRKCG  MAPK1  MAPK3  MAPK7  MAPK8  MAPK11  MAPK9  MAPK10  PDGFC  MAP2K1  MAP2K3  MAP2K6  RAC2  RAF1  RAP1A  RASA1  RASGRF1  RELA  RELB  BDNF  MAP2K4  SOS1  BRAF  STK4  MAP3K7  TEK  TGFA  TGFB1  TGFB2  TGFB3  TGFBR1  TGFBR2  TNFRSF1A  TP53  TRAF2  TRAF6  VEGFA  VEGFB  VEGFC  CACNA1A  MAP3K12  MAPKAPK3  FGF23  CASP3  IKBKG  MAPKAPK2  CD14  MAP4K4  FGF19
hsa04750,Inflammatory mediator regulation of TRP channels,2.16E-19,50,98,3.992469081,http://www.genome.jp/kegg-bin/show_pathway?hsa04750 , ADCY1  ADCY2  ADCY7  MAPK14  TRPV3  F2RL1  PLCB1  GNAQ  GNAS  HTR2A  HTR2B  IGF1  IL1B  IL1R1  IL1RAP  ITPR1  KNG1  NGF  NTRK1  P2RY2  TRPV2  PIK3CA  PIK3R1  PIK3R2  PLA2G4A  PLCG1  PLCG2  PPP1CA  PRKCA  PRKCG  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K3  MAP2K6  PTGER2  PTGER4  TRPV4  BDKRB1  BDKRB2  SRC  TRPV1  TRPM8  CALML3  CAMK2A  CAMK2G  PLA2G6  PIK3R3  TRPA1
hsa04621,NOD-like receptor signaling pathway,8.34E-35,93,183,3.976761006,http://www.genome.jp/kegg-bin/show_pathway?hsa04621 , DNM1L  NAMPT  NOD1  TXNIP  NLRP3  CHUK  ANTXR2  MAPK14  TICAM1  CYBA  CYBB  DEFA5  NLRP6  NLRP1  PLCB1  PANX1  PYCARD  TBK1  CXCL1  CXCL2  BIRC3  XIAP  HSP90AA1  IFI16  IFNA1  IFNA5  IFNA17  IFNAR1  IFNAR2  IFNB1  IKBKB  IL1B  IL6  CXCL8  IL18  IRF3  ITPR1  JAK1  JUN  RHOA  MEFV  MYD88  NFKB1  NFKBIA  P2RX7  IRAK4  TRPV2  TRPM7  MFN1  PKN1  PKN2  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  NLRC4  BCL2  RELA  BCL2L1  CCL2  NOD2  STAT1  STAT2  MAP3K7  TLR4  TNFAIP3  TP53BP1  TRAF2  TRAF3  TRAF5  TRAF6  TRPM2  TXN  TYK2  BRCC3  MAP1LC3B  CAMP  CASP1  CASP4  CASP5  CASP8  MAP1LC3A  CASR  IKBKG  RIPK1  RIPK2  FADD  ATG12  NLRP12  AIM2  ATG5
hsa05031,Amphetamine addiction,7.22E-14,35,69,3.969324332,http://www.genome.jp/kegg-bin/show_pathway?hsa05031 , CREB1  ATF2  DDC  DRD1  ARC  SIRT1  FOS  FOSB  GNAS  GRIA1  GRIA2  GRIA3  GRIA4  GRIN1  GRIN2A  GRIN2B  GRIN2C  HDAC1  HDAC2  JUN  MAOA  MAOB  ATF4  PDYN  PPP1CA  PPP3CA  PRKCA  PRKCG  SLC18A2  TH  CALML3  CAMK4  CAMK2A  CAMK2G  PPP1R1B
hsa04218,Cellular senescence,1.21E-29,79,156,3.96278149,http://www.genome.jp/kegg-bin/show_pathway?hsa04218 , CDK2  CDK4  CDK6  CDKN1A  CDKN2A  CDKN2B  GADD45G  CHEK2  MAPK14  GADD45A  E2F3  EIF4EBP1  AKT1  AKT2  ETS1  FOXM1  FOXO1  FOXO3  SIRT1  SLC25A4  IGFBP3  IL1A  IL6  CXCL8  ITPR1  KRAS  SMAD2  SMAD3  MDM2  MYBL2  MYC  GADD45B  NBN  ATM  NFATC1  NFKB1  NRAS  SERPINE1  PIK3CA  PIK3R1  PIK3R2  ATR  PPID  TRPM7  PPP1CA  PPP3CA  MAPK1  MAPK3  MAPK11  MAP2K1  MAP2K3  MAP2K6  RAF1  RB1  RBL2  TRPV4  CCND1  RELA  ZFP36L1  ZFP36L2  TGFB1  TGFB2  TGFB3  TGFBR1  TGFBR2  TP53  TSC1  TSC2  CALML3  CAPN1  PIK3R3  CCNA2  CCNB1  CCND2  BTRC  CCND3  CCNB2  MAPKAPK2  CDK1
hsa04919,Thyroid hormone signaling pathway,5.09E-23,61,121,3.944955399,http://www.genome.jp/kegg-bin/show_pathway?hsa04919 , CREBBP  CTNNB1  DIO1  DIO2  DIO3  EP300  AKT1  AKT2  ESR1  FOXO1  PLCB1  GSK3B  HDAC1  HDAC2  HIF1A  ITGB3  KRAS  MDM2  MYC  MYH6  MYH7  ATP1A3  ATP1B1  NOTCH1  NOTCH2  NOTCH3  ATP2A1  ATP2A2  ATP2A3  NRAS  PDPK1  PFKFB2  PFKM  PIK3CA  PIK3R1  PIK3R2  PLCG1  PLCG2  PLN  SLCO1C1  PRKCA  PRKCG  MAPK1  MAPK3  MAP2K1  BAD  RAF1  CCND1  ACTB  RXRA  SLC2A1  BMP4  SLC9A1  SRC  STAT1  TP53  TSC2  CASP9  PIK3R3  HDAC3  NCOR1
hsa05225,Hepatocellular carcinoma,3.74E-31,84,167,3.93604856,http://www.genome.jp/kegg-bin/show_pathway?hsa05225 , CDK4  CDK6  CDKN1A  CDKN2A  GADD45G  TXNRD3  CTNNB1  DDB2  GADD45A  NQO1  DVL1  E2F3  EGFR  ELK1  AKT1  AKT2  GAB1  SHC2  GRB2  GSK3B  GSTA1  GSTM1  GSTM3  GSTP1  HGF  HMOX1  APC  IGF1R  IGF2  ARAF  KRAS  LRP5  SMAD2  SMAD3  SMAD4  MET  MYC  GADD45B  NFE2L2  NRAS  LEF1  PIK3CA  PIK3R1  PIK3R2  PLCG1  PLCG2  PBRM1  PRKCA  PRKCG  MAPK1  MAPK3  MAP2K1  BAD  BAK1  BAX  RAF1  RB1  CCND1  BCL2L1  ACTB  RPS6KB1  SHC1  SMARCA2  SMARCA4  SOS1  BRAF  TCF7  TCF7L2  TERT  TGFA  TGFB1  TGFB2  TGFB3  TGFBR1  TGFBR2  TP53  TXNRD1  WNT1  WNT5A  WNT10B  WNT11  WNT10A  ARID1A  PIK3R3
hsa05202,Transcriptional misregulation in cancer,9.69E-36,97,193,3.93289234,http://www.genome.jp/kegg-bin/show_pathway?hsa05202 , CDKN1A  CDKN1B  CDKN2C  CEBPA  CEBPB  GADD45G  CSF1R  CSF2  DDB2  GADD45A  DEFA5  DUSP6  ERG  ETV4  ETV6  FCGR1A  FOXO1  FLT1  FLT3  FUS  GRIA3  GZMB  HDAC1  HDAC2  HOXA9  BIRC3  ID2  IGF1  IGF1R  IGFBP3  IL2RB  IL3  IL6  CXCL8  ITGAM  JUP  SMAD1  MDM2  MEIS1  MEN1  MET  MITF  MMP3  MMP9  MPO  MYC  MYCN  GADD45B  ATF1  ATM  NFKB1  NGFR  NTRK1  PAX5  PBX1  PDGFA  PLAT  PLAU  PML  PPARG  FEV  PTK2  BAK1  BAX  RARA  REL  BCL2A1  RELA  BCL2L1  BCL6  RXRA  NFKBIZ  BMI1  SP1  SPI1  TCF3  ZEB1  TGFBR2  TMPRSS2  TP53  TRAF1  WT1  IL1R2  ASPSCR1  NR4A3  HMGA2  RUNX2  RUNX1  RUNX1T1  PROM1  PER2  CCNA2  CCND2  CD14  CD86  CD40  NCOR1
hsa05231,Choline metabolism in cancer,1.52E-18,49,98,3.912619699,http://www.genome.jp/kegg-bin/show_pathway?hsa05231 , LYPLA1  CHKA  DGKQ  EGF  EGFR  EIF4EBP1  AKT1  AKT2  FOS  GRB2  HIF1A  JUN  KRAS  NRAS  PDGFA  PDGFB  PDGFRA  PDGFRB  PDPK1  PIK3CA  PIK3R1  PIK3R2  PLA2G4A  PLCG1  PLD1  PLD2  PRKCA  PRKCG  MAPK1  MAPK3  MAPK8  MAPK9  MAPK10  PDGFC  MAP2K1  CHPT1  RAC2  RAF1  RPS6KB1  SLC22A3  SLC22A2  SLC22A4  SOS1  SP1  TSC1  TSC2  WAS  PIK3R3  PLPP1
hsa05323,Rheumatoid arthritis,1.70E-17,46,92,3.912619699,http://www.genome.jp/kegg-bin/show_pathway?hsa05323 , TNFSF13B  CSF1  CSF2  CTLA4  CTSK  FLT1  FOS  ANGPT1  CXCL1  CXCL2  ICAM1  IFNG  IL1A  IL1B  IL6  CXCL8  IL11  IL15  IL17A  IL18  ITGAL  ITGB2  JUN  MMP1  MMP3  IL23A  ACP5  PTH  CCL2  CCL20  CXCL6  CXCL5  CXCL12  TEK  TGFB1  TGFB2  TGFB3  TLR2  TLR4  VEGFA  TNFSF11  TNFSF13  TNFRSF11A  CD28  CD80  CD86
hsa04929,GnRH secretion,1.43E-12,32,64,3.912619699,http://www.genome.jp/kegg-bin/show_pathway?hsa04929 , AKT1  AKT2  ESR2  PLCB1  GNAQ  GNRH1  GNRH2  ITPR1  KCNJ3  KCNJ5  KCNJ6  KCNJ11  KCNN1  KCNN4  KISS1  KRAS  LHB  NRAS  PIK3CA  PIK3R1  PIK3R2  PRKCA  PRKCG  MAPK1  MAPK3  MAP2K1  RAF1  HCN2  SPP1  TRPC1  TRPC4  PIK3R3
hsa04923,Regulation of lipolysis in adipocytes,1.69E-11,29,58,3.912619699,http://www.genome.jp/kegg-bin/show_pathway?hsa04923 , ADCY1  ADCY2  ADCY7  ADRB2  ADRB3  AKT1  AKT2  FABP4  GNAI3  GNAS  INS  INSR  IRS1  LIPE  NPY  NPPA  NPR1  PDE3B  PIK3CA  PIK3R1  PIK3R2  PRKG1  PNPLA2  PTGER3  PTGS1  PTGS2  TSHB  TSHR  PIK3R3
hsa00350,Tyrosine metabolism,1.32E-07,18,36,3.912619699,http://www.genome.jp/kegg-bin/show_pathway?hsa00350 , ADH1B  ADH1C  ADH4  ADH5  ADH7  COMT  DBH  DCT  DDC  ALDH3A1  HPD  MAOA  MAOB  PNMT  TAT  TH  TYR  TYRP1
hsa04710,Circadian rhythm,2.89E-07,17,34,3.912619699,http://www.genome.jp/kegg-bin/show_pathway?hsa04710 , CREB1  CRY1  CRY2  CSNK1D  CSNK1E  DBP  ARNTL  PER1  PRKAA1  PRKAA2  RORC  BHLHE41  PER2  BTRC  NR1D1  CLOCK  NR1D2
hsa01523,Antifolate resistance,1.50E-06,15,30,3.912619699,http://www.genome.jp/kegg-bin/show_pathway?hsa01523 , CHUK  ABCC2  DHFR  FOLR1  FOLR2  IKBKB  IL1B  IL6  ATIC  NFKB1  RELA  SLC19A1  TYMS  IKBKG  ABCC3
hsa00220,Arginine biosynthesis,4.29E-05,11,22,3.912619699,http://www.genome.jp/kegg-bin/show_pathway?hsa00220 , CPS1  GLS2  GLS  GLUD1  GLUL  GPT  ARG1  ASS1  NOS1  NOS3  OTC
hsa04910,Insulin signaling pathway,5.08E-25,68,137,3.884060431,http://www.genome.jp/kegg-bin/show_pathway?hsa04910 , PPARGC1A  CRK  CRKL  EIF4E  EIF4EBP1  ELK1  AKT1  AKT2  FASN  FBP1  FOXO1  FLOT2  SHC2  GCK  GRB2  RAPGEF1  GSK3B  GYS1  HK2  IKBKB  INS  INPP5A  INPPL1  INSR  IRS1  ARAF  KRAS  LIPE  NRAS  PDE3B  PDPK1  PHKA1  PIK3CA  PIK3R1  PIK3R2  PPP1CA  PPP1R3C  PRKAA1  PRKAA2  PRKAR1A  PRKAR2A  PRKCZ  MAPK1  MAPK3  MAPK8  MAPK9  MAPK10  MAP2K1  BAD  PTPN1  PTPRF  PYGM  RAF1  RPS6KB1  SHC1  SOS1  SREBF1  BRAF  TSC1  TSC2  HKDC1  CALML3  PIK3R3  SOCS1  IRS2  CBL  SOCS2  SOCS3
hsa04912,GnRH signaling pathway,2.90E-17,46,93,3.870548519,http://www.genome.jp/kegg-bin/show_pathway?hsa04912 , ADCY1  ADCY2  ADCY7  MAPK14  HBEGF  EGFR  EGR1  ELK1  PTK2B  PLCB1  FSHB  GNAQ  GNAS  GNRH1  GNRH2  GNRHR  GRB2  ITPR1  JUN  KRAS  LHB  MMP2  MMP14  ATF4  NRAS  PLA2G4A  PLD1  PLD2  PRKCA  MAPK1  MAPK3  MAPK7  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  MAP2K3  MAP2K6  RAF1  MAP2K4  SOS1  SRC  CALML3  CAMK2A  CAMK2G
hsa04080,Neuroactive ligand-receptor interaction,1.18E-63,179,362,3.869386332,http://www.genome.jp/kegg-bin/show_pathway?hsa04080 , CALCRL  CYSLTR1  CHRM2  CHRNA3  UCN3  CHRNB4  ADCYAP1  ADCYAP1R1  CNR1  CNR2  CORT  ADM  TAAR1  ADORA2A  ADORA2B  CRH  CRHR2  CSH2  ADRA1D  ADRA1A  ADRA2A  CTSG  ADRA2C  ADRB2  ADRB3  GPHA2  DRD1  DRD2  DRD3  AGT  AGTR1  AGTR2  S1PR1  LPAR1  S1PR3  EDN1  EDN2  EDN3  EDNRA  EDNRB  F2  F2R  F2RL1  P2RX2  FPR1  FPR2  FSHB  FSHR  GABRE  GALR1  GCG  GH1  GH2  GHR  GHRH  GHRHR  GHSR  GIP  GIPR  GLP1R  GLRA1  GNRH1  GNRH2  GNRHR  NPW  GPR35  GRIA1  GRIA2  GRIA3  GRIA4  GRIK1  GRIK2  GRIK4  GRIK5  GRIN1  GRIN2A  GRIN2B  GRIN2C  NR3C1  GRM3  GRM5  GRP  GRPR  GZMA  HCRT  HCRTR1  HCRTR2  HTR1A  HTR1B  HTR1D  HTR2A  HTR2B  HTR4  HTR7  IAPP  KISS1  KNG1  LEP  LEPR  LHB  LHCGR  MAS1  MC2R  MC3R  MC4R  MLN  NMB  NMBR  NPY  NPY2R  NTS  NTSR1  OPRD1  OPRK1  OPRM1  P2RX1  P2RX3  P2RX4  P2RX7  P2RY2  P2RY11  PRLH  GAL  PDYN  GHRL  PENK  PLG  S1PR5  PMCH  POMC  AVP  PPY  AVPR2  CHRNA9  PRL  PRLR  PYY  SLURP1  PTAFR  PTGER1  PTGER2  PTGER3  PTGER4  PTH  PTH1R  NPS  BDKRB1  BDKRB2  SST  SSTR1  SSTR2  SSTR3  SSTR4  SSTR5  TAC1  TACR2  TACR1  TACR3  TSPO  TRH  TRHR  TSHB  TSHR  C5AR1  UCN  VGF  VIP  VIPR1  VIPR2  TRPV1  CALCA  CALCB  CALCR  GALR2  CCK  CCKAR  CCKBR  F2RL3  S1PR2
hsa04611,Platelet activation,2.56E-22,61,124,3.84951293,http://www.genome.jp/kegg-bin/show_pathway?hsa04611 , ADCY1  ADCY2  ADCY7  COL1A1  COL1A2  COL3A1  MAPK14  AKT1  AKT2  F2  F2R  FCGR2A  FGA  FGB  FGG  PLCB1  GNAI3  GNAQ  GNAS  GP1BA  ITGA2  ITGA2B  ITGB1  ITGB3  ITPR1  RHOA  LYN  MYLK  PPP1R12A  NOS3  P2RX1  PIK3CA  PIK3CG  PIK3R1  PIK3R2  PLA2G4A  PLCG2  PPP1CA  PRKCZ  PRKG1  MAPK1  MAPK3  MAPK11  PTGS1  RAP1A  ACTB  ROCK1  P2RY12  SRC  STIM1  SYK  TBXAS1  BTK  VWF  ORAI1  PIK3R3  VAMP8  SNAP23  F2RL3  ARHGEF1  MYLK3
hsa04670,Leukocyte transendothelial migration,1.46E-20,56,114,3.843977248,http://www.genome.jp/kegg-bin/show_pathway?hsa04670 , CDH5  RAPGEF3  VAV3  RAPGEF4  CLDN4  CLDN3  MAPK14  CTNNA1  CTNNB1  CTNND1  CYBA  CYBB  PTK2B  GNAI3  ICAM1  ITGA4  ITGAL  ITGAM  ITGB1  ITGB2  ITK  RHOA  MMP2  MMP9  MSN  MYL2  NCF2  F11R  PECAM1  PIK3CA  PIK3R1  PIK3R2  PLCG1  PLCG2  PRKCA  PRKCG  MAPK11  PTK2  PTPN11  PXN  RAC2  RAP1A  ACTB  ROCK1  CXCL12  NCF1  THY1  CLDN5  VCAM1  VCL  CXCR4  PIK3R3  CLDN2  CLDN1  ESAM  ROCK2
hsa04216,Ferroptosis,4.38E-08,20,41,3.81718995,http://www.genome.jp/kegg-bin/show_pathway?hsa04216 , ATG7  CP  CYBB  ACSL4  SLC7A11  FTH1  FTL  GCLC  GCLM  GPX4  HMOX1  PRNP  SAT1  SLC3A2  TF  TFRC  TP53  NCOA4  MAP1LC3B  MAP1LC3A
hsa05166,Human T-cell leukemia virus 1 infection,5.18E-38,108,222,3.806873221,http://www.genome.jp/kegg-bin/show_pathway?hsa05166 , CDK2  CDK4  CDKN1A  CDKN2A  CDKN2B  CDKN2C  ADCY1  ADCY2  CHEK2  ADCY7  CHUK  TNFRSF13C  CREB1  ATF2  CREBBP  CSF2  E2F3  EGR1  EGR2  CRTC2  ELK1  EP300  AKT1  AKT2  ETS1  ETS2  CRTC1  FOS  SLC25A4  XIAP  ICAM1  IKBKB  IL1R1  IL2  IL2RA  IL2RB  IL6  IL15  IL15RA  ITGAL  ITGB2  JAK1  JAK3  JUN  KRAS  LCK  LTBR  SMAD2  SMAD3  SMAD4  MMP7  MYC  ATF4  ATM  NFATC1  NFKB1  NFKB2  NFKBIA  NRAS  PIK3CA  PIK3R1  PIK3R2  POLB  ATR  PPP3CA  MAPK1  MAPK3  MAPK8  MAPK9  MAPK10  MAP2K1  BAX  RB1  CCND1  RELA  RELB  BCL2L1  MAP2K4  SLC2A1  SPI1  STAT5A  STAT5B  TCF3  TERT  TGFB1  TGFB2  TGFB3  TGFBR1  TGFBR2  TSPO  TNFRSF1A  TP53  XPO1  ZFP36  IL1R2  FOSL1  CALR  PIK3R3  IKBKG  NRP1  CCNA2  CCND2  CCND3  CCNB2  CD3E  CD4  TBPL1  CD40
hsa04960,Aldosterone-regulated sodium reabsorption,2.16E-07,18,37,3.806873221,http://www.genome.jp/kegg-bin/show_pathway?hsa04960 , IGF1  INS  INSR  IRS1  KRAS  NR3C2  ATP1A3  ATP1B1  PDPK1  PIK3CA  PIK3R1  PIK3R2  PRKCA  PRKCG  MAPK1  MAPK3  SGK1  PIK3R3
hsa04137,Mitophagy-animal,3.67E-13,35,72,3.803935819,http://www.genome.jp/kegg-bin/show_pathway?hsa04137 , FUNDC1  PGAM5  FOXO3  TBK1  HIF1A  JUN  KRAS  NBR1  MITF  ATF4  NRAS  PRKN  FIS1  MFN1  MAPK8  MAPK9  MAPK10  RELA  BCL2L1  RPS27A  PINK1  BNIP3L  SP1  SRC  TP53  RAB7A  TFEB  MAP1LC3B  ULK1  MAP1LC3A  BECN1  USP8  EIF2AK3  ATG5  MFN2
hsa04350,TGF-beta signaling pathway,1.89E-16,45,93,3.78640616,http://www.genome.jp/kegg-bin/show_pathway?hsa04350 , CDKN2B  FST  CREBBP  DCN  EP300  FBN1  AMH  ID1  ID2  IFNG  INHBA  RHOA  LTBP1  SMAD1  SMAD2  SMAD3  SMAD4  SMAD5  SMAD7  MYC  NEO1  PITX2  PPP2CA  MAPK1  MAPK3  ROCK1  RPS6KB1  SMURF2  BMP2  BMP4  BMP5  BMP6  BMP7  BMP8B  BMPR1A  BMPR2  SP1  TGFB1  TGFB2  TGFB3  TGFBR1  TGFBR2  THBS1  INHBE  NOG
hsa04213,Longevity regulating pathway-multiple species,2.13E-11,30,62,3.78640616,http://www.genome.jp/kegg-bin/show_pathway?hsa04213 , ADCY1  ADCY2  ADCY7  AKT1  AKT2  FOXO1  FOXO3  SIRT1  HDAC1  HDAC2  FOXA2  HSPA8  IGF1  IGF1R  INS  INSR  IRS1  KRAS  NRAS  PIK3CA  PIK3R1  PIK3R2  PRKAA1  PRKAA2  RPS6KB1  SOD1  SOD2  CAT  PIK3R3  IRS2
hsa04730,Long-term depression,4.76E-11,29,60,3.782199042,http://www.genome.jp/kegg-bin/show_pathway?hsa04730 , CRH  PLCB1  GNAI3  GNAO1  GNAQ  GNAS  GRIA1  GRIA2  GRIA3  IGF1  IGF1R  ARAF  ITPR1  KRAS  LYN  NOS1  NRAS  PLA2G4A  PPP2CA  PRKCA  PRKCG  PRKG1  MAPK1  MAPK3  MAP2K1  RAF1  RYR1  BRAF  CACNA1A
hsa03320,PPAR signaling pathway,2.72E-13,36,75,3.756114911,http://www.genome.jp/kegg-bin/show_pathway?hsa03320 , CPT1A  CYP7A1  CYP8B1  CYP27A1  FABP4  FABP1  FABP3  FABP5  FABP7  ACSL4  GK  HMGCS1  HMGCS2  APOA1  APOA2  ACADM  APOC3  ILK  LPL  ME1  MMP1  OLR1  ACOX1  ANGPTL4  PDPK1  PLTP  PPARA  PPARD  PPARG  RXRA  SCD  SCP2  UCP1  SCD5  ADIPOQ  FADS2
hsa04520,Adherens junction,1.36E-12,34,71,3.74729774,http://www.genome.jp/kegg-bin/show_pathway?hsa04520 , SSX2IP  CREBBP  CTNNA1  CTNNB1  CTNND1  EGFR  EP300  ERBB2  FGFR1  IGF1R  INSR  RHOA  SMAD3  SMAD4  MET  LEF1  MAPK1  MAPK3  PTPN1  PTPN6  PTPRF  RAC2  ACTB  SNAI2  SNAI1  SRC  MAP3K7  TCF7  TCF7L2  TGFBR1  TGFBR2  VCL  WAS  YES1
hsa04512,ECM-receptor interaction,3.52E-15,42,88,3.734773349,http://www.genome.jp/kegg-bin/show_pathway?hsa04512 , COL1A1  COL1A2  COL2A1  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL4A6  COL6A1  COL9A3  COMP  DAG1  DMP1  DSPP  FN1  GP1BA  LAMA1  HMMR  HSPG2  TNC  IBSP  ITGA6  ITGA1  ITGA2  ITGA2B  ITGA4  ITGA5  ITGB1  ITGB3  LAMA3  LAMC2  SDC1  SDC4  SPP1  THBS1  TNR  VTN  VWF  CD36  CD44  CD47
hsa04931,Insulin resistance,6.58E-18,51,108,3.695251938,http://www.genome.jp/kegg-bin/show_pathway?hsa04931 , PPARGC1A  CPT1A  CREB1  AGT  CRTC2  AKT1  AKT2  FOXO1  GFPT1  GSK3B  GYS1  IKBKB  IL6  INS  INSR  IRS1  NFKB1  NFKBIA  NOS3  MLXIPL  PDPK1  PIK3CA  PIK3R1  PIK3R2  PPARA  PPP1CA  PPP1R3C  PRKAA1  PRKAA2  PRKCZ  MAPK8  MAPK9  MAPK10  PTPN1  TRIB3  PTPN11  PTPRF  PYGM  RELA  RPS6KB1  SLC2A1  SLC2A2  SREBF1  STAT3  TNFRSF1A  NR1H2  OGT  PIK3R3  IRS2  SOCS3  CD36
hsa04020,Calcium signaling pathway,5.16E-38,113,240,3.68438355,http://www.genome.jp/kegg-bin/show_pathway?hsa04020 , ADCY1  ADCY2  CYSLTR1  CHRM2  ADCY7  ADORA2A  ADORA2B  ADRA1D  ADRA1A  ADRB2  ADRB3  DRD1  AGTR1  EDNRA  EDNRB  EGF  EGFR  ERBB2  ERBB3  ERBB4  F2R  PTK2B  FGF1  FGF2  FGF4  FGF7  FGF9  FGF10  FGFR1  FGFR3  FGFR2  FGFR4  P2RX2  FLT1  PLCB1  FLT4  FGF21  GDNF  GNAQ  GNAS  GRIN1  GRIN2A  GRIN2C  SLC25A4  GRM5  GRPR  HGF  HTR2A  HTR2B  HTR4  HTR7  ITPR1  KDR  LHCGR  MET  MYLK  NGF  NOS1  NOS3  ATP2A1  ATP2A2  ATP2A3  NTRK1  NTRK2  NTRK3  NTSR1  P2RX1  P2RX3  P2RX4  P2RX7  PDGFA  PDGFB  PDGFRA  PDGFRB  PHKA1  PLCG1  PLCG2  PLN  MCOLN3  PPP3CA  PRKCA  PRKCG  PDGFC  PTAFR  PTGER1  PTGER3  STIM2  RET  BDKRB1  BDKRB2  RYR1  RYR2  STIM1  TACR2  TACR1  TACR3  TRHR  VEGFA  VEGFB  VEGFC  CACNA1A  CXCR4  FGF23  CALML3  CAMK4  CAMK2A  CAMK2G  ORAI1  CCKAR  CCKBR  SPHK1  MYLK3  CD38
hsa04650,Natural killer cell mediated cytotoxicity,5.35E-21,61,130,3.671843102,http://www.genome.jp/kegg-bin/show_pathway?hsa04650 , KLRK1  VAV3  CSF2  PTK2B  FCGR3A  FCGR3B  SHC2  GRB2  GZMB  ICAM1  ICAM2  IFNA1  IFNA5  IFNA17  IFNAR1  IFNAR2  IFNB1  IFNG  IFNGR1  FAS  FASLG  ITGAL  ITGB2  ARAF  KLRC1  KLRC2  KLRD1  KRAS  LCK  SH2D1A  NFATC1  NRAS  PAK1  CD244  PIK3CA  PIK3R1  PIK3R2  PLCG1  PLCG2  PPP3CA  PRF1  PRKCA  PRKCG  MAPK1  MAPK3  MAP2K1  PTPN6  PTPN11  RAC2  RAF1  SHC1  SOS1  BRAF  SYK  ZAP70  CASP3  PIK3R3  TNFSF10  TNFRSF10B  TNFRSF10A  NCR2
hsa05170,Human immunodeficiency virus 1 infection,9.54E-33,98,210,3.651778386,http://www.genome.jp/kegg-bin/show_pathway?hsa05170 , CHUK  CCR5  AP1S3  CRK  CRKL  MAPK14  DDB1  AKT1  AKT2  PTK2B  FOS  SAMHD1  GNAI3  GNAO1  GNAQ  TBK1  PDIA3  IFNA1  IFNA5  IFNA17  IFNB1  FAS  IKBKB  FASLG  IRAK1  IRF3  ITPR1  JUN  KRAS  LIMK1  LIMK2  MYD88  ATM  NFATC1  NFKB1  NFKBIA  NRAS  PAK1  PAK3  IRAK4  PIK3CA  PIK3R1  PIK3R2  PLCG1  PLCG2  CYCS  ATR  PPP3CA  PRKCA  PRKCG  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  MAP2K3  MAP2K6  BAD  PTK2  BAK1  BAX  PXN  RAC2  RAF1  BCL2  RELA  BCL2L1  RPS6KB1  BST2  MAP3K7  ELOC  TLR2  TLR4  TNFRSF1A  TNFRSF1B  TRAF2  TRAF5  TRAF6  WEE1  CXCR4  CALML3  CALR  CASP3  CASP8  CASP9  PIK3R3  IKBKG  RIPK1  FADD  CCNB1  BTRC  CCNB2  CD3E  CD4  APOBEC3B  CDK1
